source_file,block_index,block_start_line,token_index,candidate_class,visibility_policy,safe_to_hide,risk_note,reason,rule_code,unique_tokens,reading_distribution,suspect_witness_only,unique_count,max_levenshtein_distance,min_levenshtein_similarity,max_damerau_distance,min_damerau_similarity,max_graphic_levenshtein_distance,max_graphic_damerau_distance,min_graphic_similarity,graphic_keys,witness_1_1,witness_2_2,witness_3_3,witness_4_4,witness_5_5
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,17,97,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,apostrophe+i_j+y_i,I’ay | J’ay,"I’ay=[1,5] | J’ay=[2,3,4]",,2,1,0.750,1,0.750,0,0,1.000,iai,I’ay,J’ay,J’ay,J’ay,I’ay
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,17,97,8,minor_mixed,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity;punctuation_only,accent+historic_s_before_consonant+punctuation_removed_for_graphic_key+spacing_or_hyphen+y_i+punctuation_only,"luy-mesme, | luy-même, | luy~mesme~;","luy-mesme,=[2,3] | luy-même,=[4] | luy~mesme~;=[1,5]",,3,5,0.545,5,0.545,0,0,1.000,luimeme,luy~mesme~;,"luy-mesme,","luy-mesme,","luy-même,",luy~mesme~;
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,18,103,6,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,apostrophe+u_v,d’une | d’vne,"d’une=[2,3,4,5] | d’vne=[1]",,2,1,0.800,1,0.800,0,0,1.000,dune,d’vne,d’une,d’une,d’une,d’une
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,18,103,8,minor_graphic_safe,hide_safe,yes,masquable:rule_based,accent_only,accent,"extréme | extrême,","extréme=[1,5] | extrême,=[2,3,4]",,2,2,0.750,2,0.750,0,0,1.000,extreme,extréme,"extrême,","extrême,","extrême,",extréme
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,19,109,7,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,u_v,brauer | braver,"brauer=[1] | braver=[2,3,4,5]",,2,1,0.833,1,0.833,0,0,1.000,brauer,brauer,braver,braver,braver,braver
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,21,121,8,minor_punctuation,hide_safe,yes,masquable:rule_based,punctuation_only,punctuation_only,"égorger, | égorger.","égorger,=[1,5] | égorger.=[2,3,4]",,2,1,0.875,1,0.875,0,0,1.000,egorger,"égorger,",égorger.,égorger.,égorger.,"égorger,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,22,127,1,substantive,visible,no,visible:do_not_hide,low_similarity_or_real_rewriting,substantive_default,(lacune) | à~vn~Page.,"(lacune)=[2,3,4] | à~vn~Page.=[1,5]",,2,9,0.100,9,0.100,5,5,0.286,aunpage | lacune,à~vn~Page.,(lacune),(lacune),(lacune),à~vn~Page.
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,23,133,-1,whole_line_variant,visible,no,visible:do_not_hide,whole_line_variant_marker_or_lacuna,whole_line_variant_marker_or_lacuna,"Que l’on aille au plus viste auertir la Princesse, | Que l’on aille au plus viste avertir la Princesse, | Que l’on coure avertir & haster la Princesse,","Que l’on aille au plus viste auertir la Princesse,=[1] | Que l’on aille au plus viste avertir la Princesse,=[5] | Que l’on coure avertir & haster la Princesse,=[2,3,4]",,3,,,,,,,,quelonaileauplusuisteauertirlaprincese | queloncoureauertirhasterlaprincese,"Que l’on aille au plus viste auertir la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on coure avertir & haster la Princesse,","Que l’on aille au plus viste avertir la Princesse,"
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,24,139,1,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,i_j,Ie | Je,"Ie=[1] | Je=[2,3,4,5]",,2,1,0.500,1,0.500,0,0,1.000,ie,Ie,Je,Je,Je,Je
lathebaideoulesfreresennemis_A1_S1_of6_saisie.txt,24,139,3,minor_graphic_safe,hide_safe,yes,masquable:rule_based,historic_graphic_key_identity,i_j,Iuste | Juste,"Iuste=[1] | Juste=[2,3,4,5]",,2,1,0.800,1,0.800,0,0,1.000,iuste,Iuste,Juste,Juste,Juste,Juste
